TreeHoleID,ShapeType,Length,Area,Region,Remark,TWD97X,TWD97Y,UpdDate,lng,lat
49147,單一樹穴,8.56,4.56,,,301966.7,2771344.48,2026-03-26 15:31:48,121.51502914589058,25.049367251026037
49148,單一樹穴,8.69,4.69,,,301942.44,2771335.53,2026-03-26 15:31:48,121.51478838124568,25.049287284205935
49149,單一樹穴,9.94,6.09,,,301943.62,2771340.53,2026-03-26 15:31:48,121.51480026406679,25.049332383462836
49150,單一樹穴,8.85,4.86,,,301944.64,2771345.53,2026-03-26 15:31:48,121.51481056122672,25.049377488213747
49151,單一樹穴,9.45,5.55,,,301945.58,2771350.03,2026-03-26 15:31:48,121.51482004670709,25.04941808173299
49152,帶狀樹穴,17.14,13.66,,,301933.35,2771337.46,2026-03-26 15:31:48,121.51469836817574,25.04930502032607
49153,帶狀樹穴,18.39,14.64,,,301923.78,2771340.13,2026-03-26 15:31:48,121.51460362595952,25.04932945355972
49154,帶狀樹穴,16.22,12.49,,,301918.73,2771349.32,2026-03-26 15:31:48,121.51455392458318,25.04941259385362
49155,帶狀樹穴,9.15,4.95,,,301920.28,2771355.5,2026-03-26 15:31:48,121.51456951866585,25.049468333416772
49156,單一樹穴,9.76,5.87,,,301928.73,2771361.45,2026-03-26 15:31:48,121.51465348620295,25.04952175964698
49157,帶狀樹穴,189.29,204.01,,道路用地,305195.55,2775425.45,2026-03-26 15:31:48,121.54719201998316,25.086095395838516
49158,單一樹穴,6.78,2.78,,,301486.93,2771263.91,2026-03-26 15:31:48,121.51027140233917,25.04865627708622
49159,單一樹穴,7.37,3.26,,,301488.34,2771269.46,2026-03-26 15:31:48,121.51028558339326,25.048706334285672
49160,單一樹穴,8.26,4.25,,,301489.65,2771274.69,2026-03-26 15:31:48,121.51029876146065,25.048753505939253
48277,帶狀樹穴,8.66,3.9,,,311984.53,2772560.94,2026-03-26 15:31:48,121.61436399207523,25.05997181129771
48278,單一樹穴,10.93,6.24,,,311980.67,2772511.77,2026-03-26 15:31:48,121.61432352189145,25.059528073189984
48279,單一樹穴,8.38,3.61,,,311982.31,2772541.06,2026-03-26 15:31:48,121.61434109451197,25.059792429885995
48280,帶狀樹穴,199.08,777.05,,園區綠地,311835.36,2772511.62,2026-03-26 15:31:48,121.61288333525374,25.05953266979688
48281,帶狀樹穴,340.84,2105.02,,園區綠地,311850.83,2772615.78,2026-03-26 15:31:48,121.6130413385089,25.060472371609773
48282,帶狀樹穴,965.06,3505.01,,,312491.69,2772693.37,2026-03-26 15:31:48,121.6193965232849,25.061146479600353
48283,帶狀樹穴,241.25,2739.88,,三重綠地,311977.58,2772181.13,2026-03-26 15:31:48,121.61427801584445,25.056543251065815
48284,帶狀樹穴,119.97,780.4,,南港29號綠地,312258.9,2770587.48,2026-03-26 15:31:48,121.61699411787704,25.042144544307096
48285,帶狀樹穴,238.62,1118.42,,新坡綠地,312312.17,2769878.33,2026-03-26 15:31:48,121.61748995107897,25.035740280659184
48286,帶狀樹穴,331.54,2067.4,,南深綠地,312937.87,2770105.43,2026-03-26 15:31:48,121.62370047952088,25.03776460157347
48287,帶狀樹穴,183.6,345.71,,,311789.04,2769672.69,2026-03-26 15:31:48,121.61229695050936,25.033905248806718
48288,帶狀樹穴,201.63,426.63,,,311767.22,2769667.39,2026-03-26 15:31:48,121.61208049808596,25.033858292008134
48289,帶狀樹穴,49.28,83.88,,,311550.63,2769675.92,2026-03-26 15:31:48,121.60993468257664,25.03394412327408
48290,帶狀樹穴,338.9,2118.92,,四分綠地,312056.08,2769888.37,2026-03-26 15:31:48,121.61495276386293,25.035841442830456
48291,帶狀樹穴,209.23,2224.14,,四分綠地,312011.33,2769923.29,2026-03-26 15:31:48,121.61451089868548,25.036158528577754
